CPM_ID	Chinese_patent_medicine	Pinyin_term	Routes_of_administration
CPM03153	活血益痔酊	Huoxue Yizhi Ding	Topical
CPM03154	活血应痛丸	Huoxue Yingtong Wan	Oral
CPM03155	活血镇痛膏	Huoxue Zhentong Gao	Topical
CPM03156	活血镇痛胶囊	Huoxue Zhentong Jiaonang	Oral
CPM03157	活血止痛膏	Huoxue Zhitong Gao	Topical
CPM03158	活血止痛胶囊	Huoxue Zhitong Jiaonang	Oral
CPM03159	活血止痛片	Huoxue Zhitong Pian	Oral
CPM03160	活血止痛软胶囊	Huoxue Zhitong Ruanjiaonang	Oral
CPM03161	活血止痛散	Huoxue Zhitong San	Oral
CPM03162	活血壮筋胶囊	Huoxue Zhuangjin Jiaonang	Oral
CPM03163	活血壮筋丸	Huoxue Zhuangjin Wan	Oral
CPM03164	霍香正气丸	Huoxiang Zhengqi Wan （Nongsuo Wan ）	Oral
CPM03165	藿参补肾酒	Huoshen Bushen Jiu	Oral
CPM03166	藿胆滴丸	Huodan Diwan	Oral
CPM03167	藿胆片	Huodan Pian	Oral
CPM03168	藿胆丸	Huodan Wan	Oral
CPM03169	藿龙补肾口服液	Huolong Bushen Koufuye	Oral
CPM03170	藿鹿补肾胶囊	Huolu Bushen Jiaonang	Oral
CPM03171	藿杞补肾颗粒	Huoqi Bushen Keli	Oral
CPM03172	藿杞补肾片	Huoqi Bushen Pian	Oral
CPM03173	藿蓉补肾颗粒	Huorong Bushen Keli	Oral
CPM03174	藿香清胃胶囊	Huoxiang Qingwei Jiaonang	Oral
CPM03175	藿香清胃颗粒	Huoxiang Qingwei Keli	Oral
CPM03176	藿香清胃片	Huoxiang Qingwei Pian	Oral
CPM03177	藿香祛暑软胶囊	Huoxiang Qushu Ruanjiaonang	Oral
CPM03178	藿香祛暑水	Huoxiang Qushu Shui	Oral
CPM03179	藿香水	Huoxiang Shui	Oral
CPM03180	藿香万应散	Huoxiang Wanying San	Oral
