CHP_ID	Chinese_herbal_pieces	Chinese_synonyms	Pinyin_term	English_term	Sources
CHP05824	狗肉		gou rou	Canis familiaris	Metazoa
CHP05825	狗乳汁		gou ru zhi	Canis familiaris	Metazoa
CHP05826	狗蹄		gou ti	Canis familiaris	Metazoa
CHP05827	狗头骨		gou tou gu	Canis familiaris	Metazoa
CHP05828	鹳骨		guan gu	Ciconia ciconia boyciana	Metazoa
CHP05829	鹳肉		guan rou	Ciconia ciconia	Metazoa
CHP05830	龟版胶		gui ban jiao	Chinemys reevesii	Metazoa
CHP05831	龟甲	龟板|龟版|醋龟甲	gui jia	Tortoise Shell	Metazoa
CHP05832	龟甲胶	龟板胶	gui jia jiao	Mauremys reevesii	Metazoa
CHP05833	龟肉		gui rou	Chinemys reevesii	Metazoa
CHP05834	蛤蚧		ge jie	Gecko	Metazoa
CHP05835	蛤壳		ha ke	Meretrix meretrix	Metazoa
CHP05836	蛤蟆油		ha ma you	Forest Frog's Oviduct	Metazoa
CHP05837	海参	岩参	hai shen	Sea Cucumber	Metazoa
CHP05838	海狗肾		hai gou shen	Phoca vitulina	Metazoa
CHP05839	海龙		hai long	Pipe Fish	Metazoa
CHP05840	海马		hai ma	Hippocampus kuda	Metazoa
CHP05841	海螵蛸		hai piao shao	Endoconcha Sepiae	Metazoa
CHP05842	海星		hai xing	Craspidaster hesperus	Metazoa
CHP05843	海燕		hai yan	Patiria pectinifera	Metazoa
CHP05844	豪猪肉		hao zhu rou	Hystrix brachyura	Metazoa
CHP05845	鹤骨		he gu	Grus japonensis	Metazoa
CHP05846	鹤脑		he nao	Grus japonensis	Metazoa
CHP05847	鹤肉		he rou	Grus japonensis	Metazoa
CHP05848	黑蚂蚁		hei ma yi	Silky Ant	Metazoa
CHP05849	黑水鸡		hei shui ji	Gallinula chloropus	Metazoa
CHP05850	红毛鸡		hong mao ji	Centropus sinensis	Metazoa
CHP05851	红娘子		hong niang zi	Red Lady-bug	Metazoa
CHP05852	猴骨		hou gu	Macaca mulatta	Metazoa
CHP05853	猴枣		hou zao	Macacae Calcalus Gasteris	Metazoa
CHP05854	鲎尾		hou wei	Tachypleus tridentatus	Metazoa
CHP05855	狐肠		hu chang	Vulpes vulpes	Metazoa
CHP05856	狐胆		hu dan	Vulpes vulpes	Metazoa
CHP05857	狐肝		hu gan	Vulpes vulpes	Metazoa
CHP05858	狐肉		hu rou	Vulpes vulpes	Metazoa
CHP05859	狐头		hu tou	Vulpes vulpes	Metazoa
CHP05860	狐心		hu xin	Vulpes vulpes	Metazoa
CHP05861	虎骨	虎骨胶	hu gu	Os Tigridis	Metazoa
CHP05862	虎肉		hu rou	Panthera tigris	Metazoa
CHP05863	花姬蛙		hua ji wa	Microhyla pulchra	Metazoa
CHP05864	獾肉		huan rou	Meles meles	Metazoa
CHP05865	獾油		huan you	Meles meles	Metazoa
CHP05866	鲩鱼		huan yu	Ctenopharyngodon idllus	Metazoa
CHP05867	鲩鱼胆		huan yu dan	Ctenopharyngodon idella	Metazoa
CHP05868	黄明胶		huang ming jiao	Bos taurus	Metazoa
CHP05869	黄颡鱼		huang sang yu	Tachysurus fulvidraco	Metazoa
CHP05870	黄鳝	鳝鱼	huang shan	Monopterus albus	Metazoa
CHP05871	黄梢蛇		huang shao she	Ptyas korros	Metazoa
CHP05872	黄羊角		huang yang jiao	Procapra gutturosa	Metazoa
CHP05873	黄鼬		huang you	Mustela sibirica	Metazoa
CHP05874	蝗虫		huang chong	Grasshopper	Metazoa
CHP05875	火腿		huo tui	Sus scrofa domestica	Metazoa
CHP05876	鸡肠		ji chang	Gallus gallus domesticus	Metazoa
CHP05877	鸡胆		ji dan	Chicken Bile	Metazoa
CHP05878	鸡蛋壳		ji dan ke	Gallus gallus domesticus	Metazoa
CHP05879	鸡肝		ji gan	Gallus gallus domesticus	Metazoa
CHP05880	鸡脑		ji nao	Gallus gallus domesticus	Metazoa
CHP05881	鸡内金	醋鸡内金|内金	ji na jin	Chicken’s Gizzard Endothelium	Metazoa
CHP05882	鸡肉		ji rou	Gallus gallus domesticus	Metazoa
CHP05883	鸡屎白		ji shi bai	Gallus gallus domesticus	Metazoa
CHP05884	鸡头		ji tou	Gallus gallus domesticus	Metazoa
CHP05885	鸡血		ji xue	Gallus gallus domesticus	Metazoa
CHP05886	鸡子		ji zi	Gallus gallus	Metazoa
CHP05887	鸡子白		ji zi bai	Hen’s Egg-albumen	Metazoa
CHP05888	鸡子黄		ji zi huang	Hen's Egg YoIk	Metazoa
CHP05889	鸡子壳		ji zi ke	Hen’s Egg Shell	Metazoa
CHP05890	棘胸蛙		ji xiong wa	Quasipaa spinosa	Metazoa
CHP05891	鲫鱼		ji yu	Carassius auratus	Metazoa
CHP05892	鲫鱼胆		ji yu dan	Carassius auratus	Metazoa
CHP05893	鲫鱼脑		ji yu nao	Carassius auratus	Metazoa
CHP05894	夹蛇龟肉		jia she gui rou	Cuora trifasciata	Metazoa
CHP05895	甲香		jia xiang	Turbo cornutus	Metazoa
CHP05896	僵蚕	僵蛹|白僵蚕	jiang can	Stiff Silkworm	Metazoa
CHP05897	鲛鱼皮		jiao yu pi	Mustelus manazo	Metazoa
CHP05898	角螺厣		jiao luo yan	Hemifusus tuba	Metazoa
CHP05899	金环蛇		jin huan she	Bungarus fasciatus	Metazoa
CHP05900	金钱白花蛇	白花蛇	jin qian bai hua she	Bungarus multicinctus	Metazoa
CHP05901	九香虫		jiu xiang chong	Stink-bug	Metazoa
CHP05902	蝌蚪		ke dou	Rana nigromaculata	Metazoa
CHP05903	狼膏		lang gao	Canis lupus	Metazoa
CHP05904	狼喉靥		lang hou ye	Canis lupus	Metazoa
CHP05905	狼肉		lang rou	Canis lupus	Metazoa
CHP05906	狼油		lang you	Canis lupus	Metazoa
CHP05907	鼺鼠		lei shu	Petaurista petaurista	Metazoa
CHP05908	狸骨		li gu	Felis bengalensis	Metazoa
